ATM Name,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence,Day,Month,Year,Rainfall_Status
Mount Road ATM,515100,MONDAY,NH,W,HWW,31,1,2011,No Rain
Airport ATM,526000,MONDAY,NH,W,HWW,31,1,2011,No Rain
KK Nagar ATM,1310300,MONDAY,NH,W,HWW,31,1,2011,No Rain
Christ College ATM,369100,MONDAY,NH,W,HWW,31,1,2011,No Rain
Big Street ATM,161700,TUESDAY,NH,W,WWW,1,2,2011,No Rain
Mount Road ATM,631800,TUESDAY,NH,W,WWW,1,2,2011,No Rain
Airport ATM,578100,TUESDAY,NH,W,WWW,1,2,2011,No Rain
KK Nagar ATM,958300,TUESDAY,NH,W,WWW,1,2,2011,No Rain
Christ College ATM,432000,TUESDAY,NH,W,WWW,1,2,2011,No Rain
Big Street ATM,79200,WEDNESDAY,NH,W,WWW,2,2,2011,No Rain
Mount Road ATM,714900,WEDNESDAY,NH,W,WWW,2,2,2011,No Rain
Airport ATM,472000,WEDNESDAY,NH,W,WWW,2,2,2011,No Rain
KK Nagar ATM,1159900,WEDNESDAY,NH,W,WWW,2,2,2011,No Rain
Christ College ATM,714600,WEDNESDAY,NH,W,WWW,2,2,2011,No Rain
Big Street ATM,167800,THURSDAY,NH,W,WWW,3,2,2011,No Rain
Mount Road ATM,593000,THURSDAY,NH,W,WWW,3,2,2011,No Rain
Airport ATM,467800,THURSDAY,NH,W,WWW,3,2,2011,No Rain
KK Nagar ATM,823400,THURSDAY,NH,W,WWW,3,2,2011,No Rain
Christ College ATM,359800,THURSDAY,NH,W,WWW,3,2,2011,No Rain
Big Street ATM,112700,FRIDAY,NH,W,WWH,4,2,2011,No Rain
Mount Road ATM,615700,FRIDAY,NH,W,WWH,4,2,2011,No Rain
Airport ATM,534800,FRIDAY,NH,W,WWH,4,2,2011,No Rain
KK Nagar ATM,919100,FRIDAY,NH,W,WWH,4,2,2011,No Rain
Christ College ATM,382500,FRIDAY,NH,W,WWH,4,2,2011,No Rain
Big Street ATM,144000,SATURDAY,NH,H,WHH,5,2,2011,No Rain
Mount Road ATM,1007100,SATURDAY,NH,H,WHH,5,2,2011,No Rain
Airport ATM,520200,SATURDAY,NH,H,WHH,5,2,2011,No Rain
KK Nagar ATM,767500,SATURDAY,NH,H,WHH,5,2,2011,No Rain
Christ College ATM,429800,SATURDAY,NH,H,WHH,5,2,2011,No Rain
Big Street ATM,110400,SUNDAY,NH,H,HHW,6,2,2011,No Rain
Mount Road ATM,499900,SUNDAY,NH,H,HHW,6,2,2011,No Rain
Airport ATM,478900,SUNDAY,NH,H,HHW,6,2,2011,No Rain
KK Nagar ATM,387400,SUNDAY,NH,H,HHW,6,2,2011,No Rain
Christ College ATM,292300,SUNDAY,NH,H,HHW,6,2,2011,No Rain
Big Street ATM,80300,MONDAY,NH,W,HWW,7,2,2011,No Rain
Mount Road ATM,622800,MONDAY,NH,W,HWW,7,2,2011,No Rain
Airport ATM,440400,MONDAY,NH,W,HWW,7,2,2011,No Rain
KK Nagar ATM,849600,MONDAY,NH,W,HWW,7,2,2011,No Rain
Christ College ATM,430000,MONDAY,NH,W,HWW,7,2,2011,No Rain
Big Street ATM,175300,TUESDAY,NH,W,WWW,8,2,2011,No Rain
Mount Road ATM,620200,TUESDAY,NH,W,WWW,8,2,2011,No Rain
Airport ATM,609200,TUESDAY,NH,W,WWW,8,2,2011,No Rain
KK Nagar ATM,798000,TUESDAY,NH,W,WWW,8,2,2011,No Rain
Christ College ATM,343000,TUESDAY,NH,W,WWW,8,2,2011,No Rain
Big Street ATM,94600,WEDNESDAY,NH,W,WWW,9,2,2011,No Rain
Mount Road ATM,649100,WEDNESDAY,NH,W,WWW,9,2,2011,No Rain
Airport ATM,507800,WEDNESDAY,NH,W,WWW,9,2,2011,No Rain
KK Nagar ATM,1003900,WEDNESDAY,NH,W,WWW,9,2,2011,No Rain
Christ College ATM,381600,WEDNESDAY,NH,W,WWW,9,2,2011,No Rain
Big Street ATM,78100,THURSDAY,NH,W,WWW,10,2,2011,No Rain
